STM0001	thr operon leader peptide
STM0166	putrescine aminopropyltransferase
STM0167	hypothetical protein
STM0168	putative multicopper oxidase
STM0169	pyrroloquinoline quinone-dependent dehydrogenase
STM0170	hypoxanthine phosphoribosyltransferase
STM0171	carbonate dehydratase
STM0172	multidrug ABC transporter ATP-binding protein
STM0173	ABC transporter permease
STM0174	fimbrial protein StiH
STM0175	fimbrial assembly protein
STM0176	long polar fimbrial chaperone LpfB
STM0177	fimbrial protein StiA
STM0178	PTS sugar transporter subunit IIA
STM0179	hypothetical protein
STM0180	aspartate 1-decarboxylase
STM0181	pantoate--beta-alanine ligase
STM0182	3-methyl-2-oxobutanoate hydroxymethyltransferase
STM0183	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
STM0184	polynucleotide adenylyltransferase
STM0185	putative glutamyl t-RNA synthetase
STM0186	RNA polymerase-binding protein DksA
STM0187	sugar fermentation stimulation protein SfsA
STM0188	2'-5' RNA ligase
STM0189	ATP-dependent helicase
STM0190	penicillin-binding protein 1B
STM0191	ferrichrome porin FhuA
STM0192	iron-hydroxamate transporter ATP-binding subunit
STM0193	iron-hydroxamate transporter substrate-binding subunit
STM0194	Fe3+-hydroxamate ABC transporter permease FhuB
STM0195	fimbrial protein
STM0196	outer membrane usher protein
STM0197	fimbrial protein
STM0198	fimbrial protein
STM0199	fimbrial protein
STM0200	fimbrial protein
STM0201	hypothetical protein
STM0202	glutamate-1-semialdehyde-2,1-aminomutase
STM0203	chloride channel protein
STM0204	putative HesB-like domain protein
STM0205	hypothetical protein
STM0206	vitamin B12 ABC transporter substrate-binding protein BtuF
STM0207	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
STM0208	dGTPase
STM0209	serine endoprotease
STM0210	carbohydrate diacid regulon transcriptional regulator CdaR
STM0211	hypothetical protein
STM0212	MFS transporter
STM0213	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
STM0214	[protein-PII
STM0215	type I methionyl aminopeptidase
STM0216	30S ribosomal protein S2
STM0217	translation elongation factor Ts
STM0218	UMP kinase
STM0219	ribosome recycling factor
STM0220	1-deoxy-D-xylulose-5-phosphate reductoisomerase
STM0221	(2E,6E)-farnesyl- diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase
STM0222	phosphatidate cytidylyltransferase
STM0223	RIP metalloprotease RseP
STM0224	outer membrane protein assembly factor BamA
STM0225	molecular chaperone
STM0226	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
STM0227	3-hydroxyacyl-[acyl-carrier-protein
STM0228	acyl-[acyl-carrier-protein
STM0229	lipid-A-disaccharide synthase
STM0230	ribonuclease HII
STM0231	DNA polymerase III subunit alpha
STM0232	acetyl-CoA carboxylase carboxyltransferase subunit alpha
STM0233	chitinase
STM0234	lysine decarboxylase LdcC
STM0235	VOC family protein
STM0236	tRNA lysidine(34) synthetase TilS
STM0237	Rho-binding antiterminator
STM0238	putative cytoplasmic protein
STM0239	hypothetical protein
STM0240	aminoacyl-tRNA hydrolase
STM0242	proline--tRNA ligase
STM0243	tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO
STM0244	Rcs stress response system protein RcsF
STM0245	methionine ABC transporter substrate-binding protein MetQ
STM0246	DL-methionine transporter permease subunit
STM0247	D-methionine ABC transporter, ATP-binding protein
STM0248	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
STM0255	2,5-didehydrogluconate reductase B
STM0256	putative LysR family transcriptional regulator
STM0257	MFS sugar transporter
STM0258	putative cytoplasmic protein
STM0259	SAM-dependent methyltransferase
STM0260	murein transglycosylase D
STM0261	hydroxyacylglutathione hydrolase
STM0262	putative SAM-dependent methyltransferase
STM0263	ribonuclease HI
STM0264	DNA polymerase III, epsilon subunit
STM0266	hypothetical protein
STM0267	sciB domain protein
STM0268	type VI secretion protein
STM0269	hypothetical protein
STM0270	impE family protein
STM0271	hypothetical protein
STM0272	ClpV1 family T6SS ATPase
STM0273	type VI secretion system-associated protein
STM0274	EvpB family type VI secretion protein
STM0274A	invasol SirA
STM0275	putative cytoplasmic protein
STM0276	Hcp1 family type VI secretion system effector
STM0277	hypothetical protein
STM0278	putative periplasmic protein
STM0279	Hcp1 family type VI secretion system effector
STM0280	type VI secretion system-associated lipoprotein
STM0281	type VI secretion system-associated protein
STM0282	hypothetical protein
STM0283	hypothetical protein
STM0284	putative shiga-like toxin A subunit
STM0285	hypothetical protein
STM0286	hypothetical protein
STM0287	putative periplasmic protein
STM0288	putative cytoplasmic protein
STM0289	type VI secretion protein Vgr
STM0290	hypothetical protein
STM0291	putative RHS-family protein
STM0292	putative RHS-family protein
STM0293	hypothetical protein
STM0294	phosphotriesterase
STM0295	putative cytoplasmic protein
STM0296	putative cytoplasmic protein
STM0299	putative outer membrane protein
STM0300	putative fimbriae assembly chaparone
STM0301	pilin outer membrane usher protein SafC
STM0302	pilin structural protein SafD
STM0303	carbohydrate transporter
STM0304	transcriptional regulator
STM0305	hypothetical protein
STM0306	adhesin
STM0307	hypothetical protein
STM0308	putative amidohydrolase
STM0309	putative acyl-CoA dehydrogenase
STM0310	phosphoheptose isomerase
STM0311	class II glutamine amidotransferase
STM0312	transpeptidase
STM0313	DNA polymerase IV
STM0315	peptide chain release factor H
STM0316	cytosol nonspecific dipeptidase
STM0317	xanthine phosphoribosyltransferase
STM0318	fermentation/respiration switch protein
STM0319	sigma factor-binding protein Crl
STM0320	phosphoporin PhoE
STM0321	glutamate 5-kinase
STM0322	glutamate-5-semialdehyde dehydrogenase
STM0324	putative inner membrane protein
STM0325	transposase
STM0327	hypothetical protein
STM0328	putative permease
STM0329	3-isopropylmalate dehydratase large subunit
STM0330	3-isopropylmalate dehydratase small subunit
STM0331	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase
STM0332	hydrolase
STM0333	putative LysR family transcriptional regulator
STM0334	putative cytoplasmic protein
STM0335	hypothetical protein
STM0336	fimbrial assembly protein
STM0337	fimbrial protein
STM0338	fimbrial assembly protein
STM0339	fimbrial chaperone protein StbB
STM0340	fimbrial protein
STM0341	putative inner membrane protein
STM0342	putative periplasmic protein
STM0343	putative diguanylate cyclase/phosphodiesterase domain 1
STM0344	putative response regulator
STM0345	hypothetical protein
STM0346	hypothetical protein
STM0347	transcriptional regulator
STM0348	hypothetical protein
STM0349	hypothetical protein
STM0350	homology to outer membrane efflux protein
STM0351	multidrug efflux RND transporter permease subunit
STM0352	efflux transporter periplasmic adaptor subunit
STM0353	copper-translocating P-type ATPase
STM0354	Cu(I)-responsive transcriptional regulator
STM0355	heavy metal transport/detoxification protein
STM0356	MFS transporter
STM0357	restriction endonuclease
STM0358	DNA restriction (DNA helicase)
STM0359	hypothetical protein
STM0360	cytochrome ubiquinol oxidase subunit I
STM0361	cytochrome BD2 subunit II
STM0362	DUF2474 domain-containing protein
STM0363	AraC family transcriptional regulator
STM0364	ferrioxamine receptor
STM0365	hypothetical protein
STM0366	hypothetical protein
STM0367	propionate catabolism operon regulatory protein PrpR
STM0368	methylisocitrate lyase
STM0369	2-methylcitrate synthase
STM0370	2-methylcitrate dehydratase
STM0371	propionate--CoA ligase
STM0372	delta-aminolevulinic acid dehydratase
STM0373	autotransporter outer membrane beta-barrel domain-containing protein
STM0374	transcriptional regulator
STM0375	penicillin- binding protein
STM0376	peptide transporter
STM0377	hypothetical protein
STM0378	hypothetical protein
STM0379	hypothetical protein
STM0380	D-alanine--D-alanine ligase A
STM0381	hypothetical protein
STM0382	multidrug transporter subunit MdtG
STM0383	putative cytoplasmic protein
STM0384	hypothetical protein
STM0385	diguanylate cyclase AdrA
STM0386	pyrroline-5-carboxylate reductase
STM0387	hypothetical protein
STM0388	shikimate kinase II
STM0389	hypothetical protein
STM0390	AroM protein
STM0391	hypothetical protein
STM0392	recombination-associated protein RdgC
STM0393	fructokinase
STM0394	MFS transporter AraJ
STM0395	exonuclease subunit SbcC
STM0396	exonuclease subunit SbcD
STM0397	phosphate regulon transcriptional regulatory protein PhoB
STM0398	two-component system sensor histidine kinase PhoR
STM0399	branched-chain amino acid transport system II carrier protein
STM0400	proline-specific permease ProY
STM0401	maltodextrin glucosidase
STM0402	peroxiredoxin
STM0403	ACP phosphodiesterase
STM0404	S-adenosylmethionine-tRNA ribosyltransferase-isomerase
STM0405	tRNA guanosine(34) transglycosylase Tgt
STM0406	preprotein translocase subunit YajC
STM0407	protein-export membrane protein SecD
STM0408	protein-export membrane protein SecF
STM0409	glyoxalase
STM0410	DNA-binding transcriptional regulator
STM0411	HNH endonuclease
STM0412	putative inner membrane protein
STM0413	nucleoside-specific channel-forming protein Tsx
STM0414	hypothetical protein
STM0415	transcriptional regulator NrdR
STM0416	riboflavin biosynthesis protein RibD
STM0417	6,7-dimethyl-8-ribityllumazine synthase
STM0418	N utilization substance protein B
STM0419	thiamine-phosphate kinase
STM0420	phosphatidylglycerophosphatase A
STM0421	oxidoreductase
STM0422	1-deoxy-D-xylulose-5-phosphate synthase
STM0423	(2E,6E)-farnesyl diphosphate synthase
STM0424	exodeoxyribonuclease VII small subunit
STM0425	tRNA 4-thiouridine(8) synthase ThiI
STM0426	2-aminoethylphosphonate ABC transport system, membrane component PhnV
STM0427	2-aminoethylphosphonate ABC transporter permease subunit
STM0428	2-aminoethylphosphonate ABC transport system ATP-binding subunit PhnT
STM0429	2-aminoethylphosphonate ABC transporter substrate-binding protein
STM0430	phosphonate utilization transcriptional regulator PhnR
STM0431	2-aminoethylphosphonate--pyruvate transaminase
STM0432	2-aminoethylphosphonate transport
STM0433	DJ-1 family protein
STM0434	2-dehydropantoate 2-reductase
STM0435	putative cytoplasmic protein
STM0436	putative MFS family transporter
STM0436A	IS903 transposase
STM0437	hypothetical protein
STM0438	putative TPR repeat protein
STM0439	protoheme IX farnesyltransferase
STM0440	cytochrome o ubiquinol oxidase subunit IV
STM0441	cytochrome o ubiquinol oxidase subunit III
STM0442	cytochrome o ubiquinol oxidase subunit I
STM0443	cytochrome o ubiquinol oxidase subunit II
STM0444	muropeptide transporter AmpG
STM0445	hypothetical protein
STM0446	BolA family transcriptional regulator
STM0447	trigger factor
STM0448	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
STM0449	ATP-dependent protease ATP-binding subunit ClpX
STM0450	endopeptidase La
STM0451	DNA-binding protein HU
STM0452	peptidylprolyl isomerase
STM0453	hypothetical protein
STM0454	thioesterase
STM0455	7-cyano-7-deazaguanine synthase QueC
STM0456	peptide ABC transporter substrate-binding protein
STM0457	thiamin pyrimidine pyrophosphate hydrolase
STM0458	putative cysteine synthase/cystathionine beta-synthase
STM0459	transcriptional regulator
STM0460	multidrug ABC transporter permease/ATP-binding protein
STM0461	multidrug ABC transporter permease/ATP-binding protein
STM0462	transcriptional regulator
STM0463	ammonium transporter
STM0464	acyl-CoA thioesterase II
STM0465	hypothetical protein
STM0466	putative methyltransferase
STM0468	hypothetical protein
STM0469	50S ribosomal protein L31
STM0470	50S ribosomal protein L36
STM0471	hypothetical protein
STM0472	maltose O-acetyltransferase
STM0473	transcriptional regulator
STM0474	Hha toxicity attenuator
STM0475	aminoglycoside/multidrug transporter permease
STM0476	efflux transporter periplasmic adaptor subunit
STM0477	DNA-binding transcriptional repressor AcrR
STM0478	hypothetical protein
STM0479	putative transposase
STM0480	DUF2496 domain-containing protein
STM0481	primosomal replication protein N
STM0482	putative phage gene 58
STM0483	adenine phosphoribosyltransferase
STM0484	DNA polymerase III subunit gamma/tau
STM0485	YbaB/EbfC family nucleoid-associated protein
STM0486	recombination protein RecR
STM0487	molecular chaperone HtpG
STM0488	adenylate kinase
STM0489	ferrochelatase
STM0490	acetylesterase
STM0491	inosine/guanosine kinase
STM0492	Kef family K(+) transporter
STM0493	MFS transporter
STM0494	bifunctional UDP-sugar hydrolase/5'-nucleotidase
STM0495	aminoacyl-tRNA deacylase
STM0496	polysaccharide biosynthesis protein GumN
STM0497	hypothetical protein
STM0498	Cu+ exporting ATPase
STM0499	Cu(I)-responsive transcriptional regulator
STM0500	hypothetical protein
STM0501	paraslipin
STM0502	iron ABC transporter ATP-binding protein FetA
STM0503	iron export ABC transporter permease subunit FetB
STM0504	co-chaperone YbbN
STM0505	putative oxidoreductase
STM0506	multifunctional acyl-CoA thioesterase I/protease I/lysophospholipase L1
STM0507	ABC transporter ATP-binding protein
STM0508	ABC transporter permease
STM0509	hypothetical protein
STM0510	metal ABC transporter substrate-binding protein
STM0511	methionine ABC transporter ATP-binding protein
STM0512	methionine ABC transporter permease
STM0513	tRNA 2-selenouridine(34) synthase MnmH
STM0514	transcriptional regulator
STM0515	ureidoglycolate hydrolase
STM0516	transcriptional regulator
STM0517	glyoxylate carboligase
STM0518	hydroxypyruvate isomerase
STM0519	2-hydroxy-3-oxopropionate reductase
STM0520	MFS transporter
STM0521	putative cytoplasmic protein
STM0522	putative NCS1 family, allantoin transport protein
STM0523	allantoinase
STM0524	uracil/xanthine transporter
STM0525	glycerate kinase
STM0526	(S)-ureidoglycine aminohydrolase
STM0527	allantoate amidohydrolase
STM0528	ureidoglycolate dehydrogenase
STM0529	acyl-CoA synthetase FdrA
STM0530	hypothetical protein
STM0531	carboxylase
STM0532	putative carbamate kinase
STM0533	5-(carboxyamino)imidazole ribonucleotide synthase
STM0534	5-(carboxyamino)imidazole ribonucleotide mutase
STM0535	UDP-2,3-diacylglucosamine diphosphatase
STM0536	peptidylprolyl isomerase
STM0537	cysteine tRNA synthetase
STM0538	hypothetical protein
STM0539	hypothetical protein
STM0540	hypothetical protein
STM0541	ribosome-associated protein
STM0542	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
STM0543	type-1 fimbrial protein subunit A
STM0544	fimbrial protein FimI
STM0545	fimbrial chaperone protein FimC
STM0546	outer membrane usher protein
STM0547	fimbrial adhesin FimH
STM0548	adhesin
STM0549	DNA-binding response regulator
STM0550	fimbriae Y protein
STM0551	diguanylate cyclase
STM0552	helix-turn-helix transcriptional regulator
STM0554	homology to integrase protein of phage
STM0557	putative inner membrane protein
STM0558	putative glycosyltransferase
STM0559	translocase
STM0561	ATP-binding protein
STM0562	putative transport protein
STM0563	AraC family transcriptional regulator
STM0564	pyridine nucleotide-disulfide oxidoreductase
STM0565	hypothetical protein
STM0566	hypothetical protein
STM0567	DNA repair protein
STM0568	phenylalanine transporter
STM0569	miniconductance mechanosensitive channel
STM0570	autotransporter outer membrane beta-barrel domain-containing protein
STM0571	hypothetical protein
STM0572	phosphosugar isomerase
STM0573	putative inner membrane protein
STM0574	PTS mannose transporter subunit IID
STM0575	PTS mannose transporter subunit IICD
STM0576	PTS mannose/fructose/sorbose transporter subunit IIB
STM0577	PTS mannose transporter subunit IIAB
STM0578	NAD(P)H nitroreductase
STM0579	hypothetical protein
STM0580	TetR family transcriptional regulator
STM0581	DNA-binding transcriptional regulator RamA
STM0582	hypothetical protein
STM0583	glutamate--cysteine ligase
STM0584	phosphopantetheinyltransferase
STM0585	outer membrane receptor protein
STM0586	enterochelin esterase
STM0587	MbtH family protein
STM0588	non-ribosomal peptide synthetase
STM0589	LPS O-antigen length regulator
STM0590	iron-enterobactin transporter ATP-binding protein
STM0591	ferric enterobactin transporter
STM0592	iron-enterobactin transporter
STM0593	MFS transporter
STM0594	Fe2+-enterobactin ABC transporter substrate-binding protein
STM0595	isochorismate synthase EntC
STM0596	2,3-dihydroxybenzoate-AMP ligase
STM0597	isochorismatase
STM0598	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
STM0599	thioesterase
STM0600	carbon starvation protein A
STM0601	hypothetical protein
STM0602	oxidoreductase
STM0603	methionine aminotransferase
STM0604	hypothetical protein
STM0605	phosphoadenosine phosphosulfate reductase
STM0606	putative LysR family transcriptional regulator
STM0607	thiol:disulfide interchange protein DsbG
STM0608	peroxiredoxin
STM0609	alkyl hydroperoxide reductase subunit F
STM0610	molecular chaperone
STM0611	DMSO reductase
STM0612	DMSO reductase
STM0613	hydrogenase
STM0614	universal stress protein UspG
STM0615	glutathione-dependent formaldehyde dehydrogenase
STM0616	nucleoside diphosphate kinase regulator
STM0617	ribonuclease I
STM0618	anion permease
STM0619	triphosphoribosyl-dephospho-CoA synthase
STM0620	2-(5'-triphosphoribosyl)-3'-dephospho CoA synthase
STM0621	citrate lyase subunit alpha
STM0622	citrate (pro-3S)-lyase subunit beta
STM0623	citrate lyase acyl carrier protein
STM0624	[citrate (pro-3S)-lyase
STM0625	histidine kinase
STM0626	response regulator
STM0627	anaerobic C4-dicarboxylate transporter DcuC
STM0628	PhoPQ-activated gene
STM0629	cold-shock protein
STM0630	fluoride ion transporter CrcB
STM0631	putative hydrolase
STM0632	Sec-independent protein translocase TatE
STM0633	lipoyl synthase
STM0634	putative LysR family transcriptional regulator
STM0635	putative ligase in lipoate biosynthesis
STM0636	hypothetical protein
STM0637	serine-type D-Ala-D-Ala carboxypeptidase
STM0638	rare lipoprotein A
STM0639	rod shape-determining protein RodA
STM0640	penicillin-binding protein 2
STM0641	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
STM0642	ribosome silencing factor
STM0643	alpha-ribazole phosphatase
STM0644	threonine-phosphate decarboxylase
STM0645	putative nicotinic acid mononucleotide adenylyltransferase
STM0646	DNA polymerase III subunit delta
STM0647	LPS assembly lipoprotein LptE
STM0648	leucine tRNA synthetase
STM0649	putative hydrolase N-terminus
STM0650	putative hydrolase C-terminus
STM0651	2-keto-3-deoxygluconate permease
STM0652	Fis family transcriptional regulator
STM0653	hypothetical protein
STM0654	hypothetical protein
STM0655	hypothetical protein
STM0656	molecular chaperone DnaJ
STM0657	hypothetical protein
STM0658	molecular chaperone DnaJ
STM0659	molecular chaperone HscC
STM0660	hypothetical protein
STM0661	pyrimidine-specific ribonucleoside hydrolase RihA
STM0662	arginine transporter ATP-binding subunit
STM0663	amino acid ABC transporter permease
STM0664	amino acid ABC transporter permease
STM0665	glutamate/aspartate transporter
STM0666	apolipoprotein N-acyltransferase
STM0667	magnesium/cobalt efflux protein
STM0668	rRNA maturation RNase YbeY
STM0669	putative phosphate starvation-inducible protein, ATP-binding
STM0670	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
STM0671	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
STM0672	hypothetical protein
STM0680	asparagine synthetase B
STM0681	UMP phosphatase
STM0682	transcriptional regulator
STM0683	N-acetylglucosamine-6-phosphate deacetylase
STM0684	glucosamine-6-phosphate deaminase
STM0685	PTS N-acetyl glucosamine transporter subunit IIABC
STM0686	glutamine--tRNA ligase
STM0687	chitoporin
STM0688	hypothetical protein
STM0689	citrate-proton symporter
STM0690	tricarballylate utilization protein B
STM0691	FAD-binding dehydrogenase
STM0692	putative LysR family transcriptional regulator
STM0693	ferric iron uptake transcriptional regulator
STM0694	flavodoxin
STM0695	LexA regulated protein
STM0696	alpha/beta hydrolase
STM0697	replication initiation regulator SeqA
STM0698	phosphoglucomutase, alpha-D-glucose phosphate-specific
STM0699	5-nitroimidazole antibiotic resistance protein
STM0700	putrescine-ornithine antiporter
STM0701	ornithine decarboxylase SpeF
STM0702	two-component system response regulator KdpE
STM0703	two-component system sensor histidine kinase KdbD
STM0704	potassium-transporting ATPase subunit C
STM0705	potassium-transporting ATPase subunit B
STM0706	potassium-transporting ATPase subunit KdpA
STM0707	potassium-transporting ATPase subunit F
STM0708	hypothetical protein
STM0709	deoxyribodipyrimidine photo-lyase
STM0710	MFS transporter
STM0711	hypothetical protein
STM0712	hypothetical protein
STM0713	hypothetical protein
STM0714	LamB/YcsF family protein
STM0715	hypothetical protein
STM0716	DNA recombinase
STM0717	putative inner membrane protein
STM0718	transport protein
STM0719	putative UDP-galactopyranose mutase
STM0720	putative glycosyl transferase
STM0721	glycosyltransferase family 1 protein
STM0722	ABC transporter permease
STM0723	sugar ABC transporter ATP-binding protein
STM0724	glycosyl transferase
STM0725	glycosyl transferase
STM0726	putative glycosyl transferase
STM0727	hypothetical protein
STM0728	endonuclease VIII
STM0729	AbrB family transcriptional regulator
STM0730	citrate (Si)-synthase
STM0731	hypothetical protein
STM0732	succinate dehydrogenase, cytochrome b556
STM0733	succinate dehydrogenase, hydrophobic membrane anchor protein
STM0734	succinate dehydrogenase flavoprotein subunit
STM0735	succinate dehydrogenase, Fe-S protein
STM0736	2-oxoglutarate dehydrogenase E1 component
STM0737	dihydrolipoamide succinyltransferase
STM0738	succinate--CoA ligase subunit beta
STM0739	succinate--CoA ligase subunit alpha
STM0740	cytochrome d terminal oxidase subunit 1
STM0741	cytochrome d ubiquinol oxidase subunit II
STM0742	putative outer membrane lipoprotein
STM0743	cyd operon protein YbgE
STM0744	tol-pal system-associated acyl-CoA thioesterase
STM0745	tol protein, membrane-spanning inner membrane protein
STM0746	protein TolR
STM0747	cell envelope integrity protein TolA
STM0748	Tol-Pal system beta propeller repeat protein TolB
STM0749	peptidoglycan-associated lipoprotein
STM0750	cell division protein CpoB
STM0756	quinolinate synthase
STM0757	nicotinamide riboside transporter PnuC
STM0758	cation transporter
